tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
112766,107078,2015-08-03,7,0,OnCurb,Alive,Good,Koelreuteria paniculata,golden raintree,None,None,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,825 COLUMBUS AVENUE,10025,New York,107,1,Manhattan,7,69,30,MN12,Upper West Side,1018900,New York,40.79529075,-73.96504627,993928.1453,229024.751
251220,506265,2015-09-23,7,0,OnCurb,Alive,Poor,Platanus x acerifolia,London planetree,1or2,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,3039 HULL AVENUE,10467,Bronx,207,2,Bronx,11,80,36,BX43,Norwood,2042500,New York,40.87151069,-73.87991533,1017461.505,256815.3296
8105,310496,2015-06-01,4,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,101-028 WOODHAVEN BOULEVARD,11416,Ozone Park,409,4,Queens,32,23,15,QN53,Woodhaven,4004001,New York,40.68368338,-73.84594769,1026976.184,188398.284
343037,105929,2015-10-17,2,0,OnCurb,Alive,Good,Betula papyrifera,paper birch,1or2,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,447 EAST 57 STREET,10022,New York,106,1,Manhattan,5,73,28,MN19,Turtle Bay-East Midtown,1010601,New York,40.75773879,-73.9613471,994958.4251,215343.7406
288883,229566,2015-10-06,14,0,OnCurb,Alive,Fair,Styphnolobium japonicum,Sophora,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1471 EAST 17 STREET,11230,Brooklyn,314,3,Brooklyn,48,45,17,BK43,Midwood,3054400,New York,40.61420196,-73.95730486,996103.7775,163049.61
388125,332931,2015-10-27,30,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,118-016 222 STREET,11411,Cambria Heights,413,4,Queens,27,33,14,QN33,Cambria Heights,4060800,New York,40.69263952,-73.7394801,1056495.041,191731.1294
400984,414432,2015-10-29,3,0,OnCurb,Dead,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,131 DUGDALE STREET,10306,Staten Island,503,5,Staten Island,50,64,24,SI25,Oakwood-Oakwood Beach,5012805,New York,40.55531074,-74.11824251,951392.4725,141613.3471
155797,216421,2015-08-18,2,0,OnCurb,Dead,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,292 NORMAN AVENUE,11222,Brooklyn,301,3,Brooklyn,33,50,18,BK76,Greenpoint,3058900,New York,40.72796307,-73.94028158,1000801.826,204498.7767
498946,409003,2015-12-06,2,0,OnCurb,Alive,Good,Cercis canadensis,eastern redbud,1or2,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,79 AMSTERDAM AVENUE,10314,Staten Island,502,5,Staten Island,50,63,24,SI05,New Springville-Bloomfield-Travis,5029103,New York,40.60251829,-74.164873,938467.0581,158833.145
203864,217860,2015-09-05,15,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,1or2,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,19 JUDGE STREET,11211,Brooklyn,301,3,Brooklyn,34,53,18,BK90,East Williamsburg,3048100,New York,40.7134636,-73.94050338,1000743.938,199216.1331
